18.75	337.2232	48.0	680.0	0.0
166.75	325.0893	82.0	514.0	0.0
166.875	609.9107	82.0	28.0	0.0
166.625	658.5089	82.0	38.0	0.0
168.75	39.803562	80.0	30.0	0.0
168.875	2.8482046	78.0	14.0	0.0
104.875	436.375	22.0	410.0	0.0
106.375	662.1786	22.0	22.0	0.0
65.625	506.25	28.0	64.0	0.0
69.125	433.57144	26.0	50.0	0.0
67.625	301.7768	26.0	190.0	0.0
65.375	148.66963	20.0	44.0	0.0
108.625	120.5357	16.0	142.0	0.0
63.75	58.214275	10.0	90.0	0.0
513.5	116.999985	250.0	90.0	0.0
432.25	3.2589188	410.0	20.0	0.0
808.0	3.2321339	190.0	18.0	0.0
1040.875	-2.0	170.0	22.0	0.0
1204.0	116.48214	22.0	100.0	0.0
1212.0	-2.0	36.0	32.0	0.0
1164.125	42.160706	46.0	30.0	0.0
1039.125	36.955345	184.0	34.0	0.0
926.25	40.160706	20.0	28.0	0.0
931.75	1.205348	16.0	28.0	0.0
807.875	38.160706	190.0	28.0	0.0
676.375	38.160706	40.0	26.0	0.0
674.625	4.0	38.0	22.0	0.0
434.125	40.955345	416.0	28.0	0.0
237.875	93.58035	40.0	50.0	0.0
271.875	77.93749	30.0	18.0	0.0
262.375	93.19642	18.0	18.0	0.0
292.0	74.29464	10.0	10.0	0.0
222.875	141.71428	10.0	50.0	0.0
232.375	112.124985	30.0	50.0	0.0
226.75	125.74106	18.0	50.0	0.0
337.25	136.58928	110.0	50.0	0.0
297.25	146.58928	70.0	30.0	0.0
285.125	136.56248	30.0	30.0	0.0
259.0	154.64284	14.0	14.0	0.0
373.125	97.19642	30.0	50.0	0.0
347.5	103.303566	22.0	50.0	0.0
327.25	110.91964	20.0	50.0	0.0
325.25	122.91964	50.0	50.0	0.0
672.75	518.7411	36.0	82.0	0.0
674.875	601.4464	38.0	38.0	0.0
675.125	654.8929	36.0	42.0	0.0
673.0	459.625	34.0	16.0	0.0
674.75	392.91965	34.0	92.0	0.0
673.0	325.44644	34.0	16.0	0.0
672.75	258.33035	36.0	96.0	0.0
674.875	187.21428	34.0	26.0	0.0
672.875	113.303566	34.0	100.0	0.0
917.5	185.625	424.0	10.0	0.0
926.375	119.74106	14.0	100.0	0.0
1166.0	190.83035	40.0	26.0	0.0
1166.25	116.91964	30.0	92.0	0.0
1162.25	316.92856	36.0	202.0	0.0
1206.0	325.39285	30.0	230.0	0.0
1162.5	487.3482	38.0	108.0	0.0
1166.0	566.5179	30.0	22.0	0.0
1160.625	654.4554	38.0	50.0	0.0
1204.0	650.8929	24.0	50.0	0.0
1208.0	523.125	30.0	50.0	0.0
445.875	185.625	390.0	16.0	0.0
